,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
30543,29,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,1000.0,1000.0,1000.0,1000.0,1
31088,31,117.0,MASON TENDERS DISTRICT COUNCIL PAC,1000.0,1000.0,1000.0,1000.0,1
31091,31,142.0,NEW YORK STATE LABORERS PAC,1000.0,1000.0,1000.0,1000.0,1
31096,31,164.0,32BJ UNITED ADF,1500.0,1000.0,1250.0,2500.0,2
31097,31,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2200.0,250.0,1225.0,2450.0,2
31099,31,188.0,LAWPAC OF NEW YORK,3400.0,500.0,1380.0,6900.0,5
31101,31,196.0,1199 SEIU- NYS POLITICAL ACTION FUND,2200.0,1000.0,1850.0,7400.0,4
31114,31,523.0,RPAC OF NEW YORK STATE,1000.0,250.0,538.4615384615385,7000.0,13
31128,31,793.0,VOICE OF TEACHERS FOR EDUCATION,2000.0,250.0,625.0,4375.0,7
31133,31,876.0,NEW YORK CITY HOTEL TRADES COUNCIL,2200.0,1000.0,1600.0,3200.0,2
31392,32,117.0,MASON TENDERS DC OF GREAT NY PAC,2200.0,2200.0,2200.0,2200.0,1
31397,32,165.0,LOCAL 3 COMMITTEE ON POLITICAL EDUCATION,4700.0,4700.0,4700.0,4700.0,1
31398,32,188.0,LAWPAC,1000.0,1000.0,1000.0,1000.0,1
31399,32,196.0,1199 SEIU - NYS,2200.0,1000.0,1600.0,3200.0,2
31404,32,523.0,REAL ESTATE BOARD PAC,1000.0,1000.0,1000.0,1000.0,1
31409,32,793.0,NYSUT,2000.0,750.0,1350.0,6750.0,5
31413,32,876.0,NEW YORK HOTEL TRADES COUNCIL CMT ON POL ED,4700.0,4700.0,4700.0,4700.0,1
31733,33,142.0,NYS LABORERS PAC -STATE FUND,800.0,800.0,800.0,800.0,1
31739,33,188.0,LAWPAC OF NY,800.0,800.0,800.0,800.0,1
31741,33,196.0,1199 SEIU - POLITICAL ACTION FUND,2200.0,1000.0,1600.0,3200.0,2
31753,33,523.0,REAL ESTATE BOARD PAC,2000.0,250.0,868.1818181818181,9550.0,11
31768,33,793.0,VOTE/COPE CMMTTEE POLITICAL EDUCATN NYS TEACHERS,1000.0,400.0,740.0,3700.0,5
31900,34,117.0,MASON TENDERS DISTRICT COUNCIL OF GRTR NY PAC,500.0,500.0,500.0,500.0,1
31905,34,142.0,NEW YORK STATE LABORERS - PAC STATE FUND,2000.0,1000.0,1333.3333333333333,4000.0,3
31911,34,153.0,TRANSPORT WORKERS UNION LOCAL 100,1500.0,500.0,928.5714285714287,6500.0,7
31916,34,164.0,32BJ UNITED ADF,2000.0,500.0,1428.571428571429,10000.0,7
31917,34,165.0,LOCAL 6 COMMITTEE OF POLITICAL EDUCATION,2000.0,2000.0,2000.0,2000.0,1
31921,34,188.0,LAWPAC OF NEW YORK,2400.0,1000.0,1800.0,5400.0,3
31923,34,196.0,1199 SEIU,4100.0,2000.0,2766.666666666666,8300.0,3
31935,34,523.0,REAL ESTATE BOARD PAC,4400.0,250.0,2325.0,4650.0,2
31943,34,793.0,VOICE OF TEACHERS FOR EDUCATION,4400.0,250.0,1656.25,13250.0,8
31949,34,876.0,NY HOTEL TRADES COUNCIL,2000.0,2000.0,2000.0,2000.0,1
32880,35,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,4400.0,1000.0,2700.0,5400.0,2
32888,35,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,500.0,500.0,500.0,1
32892,35,164.0,32BJ UNITED ADF,2000.0,500.0,1250.0,2500.0,2
32893,35,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2500.0,1500.0,2000.0,4000.0,2
32896,35,188.0,LAWPAC OF NEW YORK,4400.0,500.0,1960.0,9800.0,5
32898,35,196.0,1199 SEIU NYS PAC,2200.0,1000.0,1600.0,3200.0,2
32908,35,793.0,VOTE/COPE,4400.0,4400.0,4400.0,8800.0,2
32909,35,876.0,NY HOTEL TRADES COUNCIL NON FEDERAL COPE,2500.0,1500.0,2000.0,4000.0,2
33291,36,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,2200.0,2200.0,2200.0,2200.0,1
33294,36,142.0,NEW YORK STATE LABORERS PAC -STATE FUND,2200.0,1000.0,1600.0,3200.0,2
33298,36,188.0,LAWPAC OF NEW YORK,2400.0,2000.0,2200.0,4400.0,2
33299,36,196.0,1199 SEIU- POLITICAL ACTION FUND,4400.0,4400.0,4400.0,4400.0,1
33306,36,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,2000.0,2
33336,37,196.0,1199 SEIU  NYS POLITICAL ACTION FUND,2000.0,2000.0,2000.0,2000.0,1
33338,37,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,1000.0,1
33347,38,153.0,TWU LOCAL 100 POLITICAL CONTRIBUTIONS COMMITTEE,500.0,500.0,500.0,500.0,1
33351,38,188.0,LAWPAC OF NEW YORK,4400.0,4400.0,4400.0,4400.0,1
